gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3335151552	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/88098492	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		HK		Sai Kung	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.291318	114.242448	4.0						2021-07-21T20:24:00	21	7	2021	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	88098492		sk2	2021-07-22T08:42:58	CC_BY_NC_4_0	sk2	sk2			2021-08-17T21:49:21.018Z	StillImage	COORDINATE_ROUNDED
3335117630	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/89168036	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.244679	77.169322	5.0						2021-04-11T22:43:48	11	4	2021	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	89168036		Unnikrishnan MP	2021-07-30T13:57:42	CC_BY_NC_4_0	Mahesh A	Mahesh A			2021-08-17T21:51:13.126Z	StillImage	COORDINATE_ROUNDED
3333424059	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/88587059	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	12.060574	75.200156	781.0						2021-07-25T23:45:04	25	7	2021	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	88587059		Unnikrishnan MP	2021-07-26T06:12:29	CC_BY_4_0	Manoj Karingamadathil	Manoj Karingamadathil			2021-08-17T21:50:56.229Z	StillImage	
3333392411	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75650029	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		AU		Queensland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-27.195168	152.945588							2021-02-24T21:20:00	24	2	2021	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	75650029		Dezmond Wells	2021-04-29T13:16:32	CC_BY_NC_4_0	Dezmond Wells	Dezmond Wells			2021-08-17T21:47:52.054Z	StillImage	COORDINATE_ROUNDED
3333304754	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/88367223	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Telangana	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	17.352946	78.53566	2059.0						2019-10-18T14:53:00	18	10	2019	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	88367223		harini99	2021-07-24T10:01:18	CC_BY_NC_4_0	harini99	harini99			2021-08-17T21:49:43.007Z	StillImage	COORDINATE_ROUNDED
3330850372	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/87953002	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	12.860914	77.59882	246.0						2020-10-21T11:50:00	21	10	2020	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	87953002		Rohit Girotra	2021-07-21T04:37:52	CC_BY_NC_4_0	Rohit Girotra	Rohit Girotra			2021-08-17T22:12:01.070Z	StillImage	
3330766399	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73595541	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		AU		New South Wales	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.279448	153.039403	196.0						2021-04-10T20:13:00	10	4	2021	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	73595541		kdbishop69	2021-04-11T08:55:42	CC_BY_NC_4_0	kdbishop69	kdbishop69			2021-08-17T21:47:50.802Z	StillImage	
3330568344	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/87953040	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	12.860914	77.59882	246.0						2020-10-24T13:40:00	24	10	2020	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	87953040		Rohit Girotra	2021-07-21T04:38:08	CC_BY_NC_4_0	Rohit Girotra	Rohit Girotra			2021-08-17T21:23:03.479Z	StillImage	
3330544366	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/87953052	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	12.860914	77.59882	246.0						2020-10-24T13:47:00	24	10	2020	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	87953052		Rohit Girotra	2021-07-21T04:38:11	CC_BY_NC_4_0	Rohit Girotra	Rohit Girotra			2021-08-17T21:49:14.144Z	StillImage	
3330501254	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/87819839	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis		SPECIES	Cnaphalocrocis medinalis Guenée, 1854	Cnaphalocrocis medinalis		IN		Tamil Nadu	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.967529	76.91821	56301.0						2019-11-09T06:25:00	9	11	2019	1890320	1890320	HUMAN_OBSERVATION	iNaturalist	Observations	87819839		Rohit Girotra	2021-07-20T06:08:40	CC_BY_NC_4_0	Rohit Girotra	Rohit Girotra			2021-08-17T21:23:52.216Z	StillImage	COORDINATE_ROUNDED
